White,Red,Green,Blue,Total,color_label
26,13,14,18,33,black
26,14,14,18,32,black
25,14,12,18,31,black
28,13,15,18,38,black
26,14,13,18,33,black
28,13,14,18,39,black
26,14,13,18,33,black
27,13,14,18,36,black
26,14,13,17,34,black
26,14,12,18,34,black
28,13,15,18,38,black
26,14,13,18,33,black
27,14,12,18,37,black
27,14,14,18,35,black
26,14,13,17,34,black
27,13,13,18,37,black
27,14,14,19,34,black
25,14,12,18,31,black
28,14,15,19,36,black
25,14,13,18,30,black
28,13,15,18,38,black
25,14,13,18,30,black
28,13,14,18,39,black
26,14,13,18,33,black
27,13,14,18,36,black
27,14,14,18,35,black
25,14,13,18,30,black
26,13,14,18,33,black
27,14,15,19,33,black
26,14,13,18,33,black
28,13,14,18,39,black
26,14,14,17,33,black
25,14,12,18,31,black
28,13,15,19,37,black
26,14,14,17,33,black
25,14,12,18,31,black
27,14,14,19,34,black
26,14,14,18,32,black
28,13,14,18,39,black
26,15,14,17,32,black
25,14,12,18,31,black
28,13,14,18,39,black
26,14,14,17,33,black
25,14,12,18,31,black
26,15,14,18,31,black
25,14,13,17,31,black
25,13,14,18,30,black
27,13,14,19,35,black
25,14,13,17,31,black
26,14,12,18,34,black
28,13,14,18,39,black
25,14,13,18,30,black
26,14,14,18,32,black
27,13,14,18,36,black
25,14,14,17,30,black
26,13,13,18,34,black
28,13,14,19,38,black
25,14,14,17,30,black
25,14,13,18,30,black
27,14,14,19,34,black
26,14,14,17,33,black
26,13,13,18,34,black
27,13,14,19,35,black
26,14,13,17,34,black
26,14,12,18,34,black
28,14,14,19,37,black
26,14,13,17,34,black
27,13,15,18,35,black
26,14,14,18,32,black
25,14,12,18,31,black
28,13,14,18,39,black
25,14,13,17,31,black
26,13,13,18,34,black
27,14,14,17,36,black
26,14,13,17,34,black
26,13,12,18,35,black
26,14,14,18,32,black
25,14,13,17,31,black
27,13,14,18,36,black
25,14,14,17,30,black
26,13,13,17,35,black
28,14,15,18,37,black
25,14,12,18,31,black
28,13,14,18,39,black
25,14,13,17,31,black
26,14,12,18,34,black
28,14,14,19,37,black
26,14,14,17,33,black
25,14,14,18,29,black
26,14,14,18,32,black
26,14,12,18,34,black
27,13,14,18,36,black
26,14,14,17,33,black
25,14,13,17,31,black
28,13,14,19,38,black
25,14,14,17,30,black
26,13,14,18,33,black
26,14,14,18,32,black
25,14,12,18,31,black
28,13,15,19,37,black
25,14,14,17,30,black
26,13,14,18,33,black
26,14,14,18,32,black
25,13,13,18,31,black
27,13,15,19,34,black
26,14,13,18,33,black
27,13,14,18,36,black
26,14,13,17,34,black
26,13,12,18,35,black
27,14,14,17,36,black
25,14,13,18,30,black
28,14,14,19,37,black
25,14,14,17,30,black
26,13,14,18,33,black
26,14,14,18,32,black
25,14,13,18,30,black
27,13,14,18,36,black
26,14,14,17,33,black
26,13,12,18,35,black
27,13,14,19,35,black
26,14,13,17,34,black
26,13,12,18,35,black
26,14,14,18,32,black
25,14,13,17,31,black
28,13,14,18,39,black
26,14,14,17,33,black
26,13,14,18,33,black
27,14,14,19,34,black
26,14,13,18,33,black
27,14,12,18,37,black
28,15,14,18,37,black
26,14,13,17,34,black
26,13,14,18,33,black
26,14,14,19,31,black
26,14,13,18,33,black
27,13,14,19,35,black
25,14,13,17,31,black
27,14,12,18,37,black
28,13,14,19,38,black
25,14,14,17,30,black
25,14,12,18,31,black
27,14,15,19,33,black
26,14,14,17,33,black
27,13,14,18,36,black
26,14,14,17,33,black
26,13,13,18,34,black
27,14,14,18,35,black
25,14,12,18,31,black
28,13,14,19,38,black
25,14,13,18,30,black
27,13,14,18,36,black
25,14,13,18,30,black
26,13,14,18,33,black
25,13,13,17,32,black
26,13,12,18,35,black
28,14,14,19,37,black
25,14,14,17,30,black
26,13,14,19,32,black
25,14,14,17,30,black
25,14,14,18,29,black
25,14,14,17,30,black
25,14,14,18,29,black
27,13,15,19,34,black
25,14,13,18,30,black
27,13,12,18,38,black
28,14,15,19,36,black
25,14,14,17,30,black
25,13,13,18,31,black
25,14,14,17,30,black
25,14,13,18,30,black
28,14,14,19,37,black
25,14,14,17,30,black
26,13,14,18,33,black
27,14,14,19,34,black
26,14,13,18,33,black
27,13,13,18,37,black
27,14,14,17,36,black
25,14,14,17,30,black
26,13,14,18,33,black
25,14,14,17,30,black
25,14,12,18,31,black
28,14,15,18,37,black
25,14,14,17,30,black
26,13,13,18,34,black
27,14,14,17,36,black
25,14,13,17,31,black
27,13,14,19,35,black
25,14,14,17,30,black
25,14,12,18,31,black
27,14,14,18,35,black
26,14,14,17,33,black
27,13,14,18,36,black
25,14,14,17,30,black
26,13,14,18,33,black
27,14,14,18,35,black
25,14,12,18,31,black
28,13,14,18,39,black
26,14,13,17,34,black
27,13,14,18,36,black
26,14,13,17,34,black
25,14,12,17,32,black
27,13,15,18,35,black
26,14,14,17,33,black
25,14,12,18,31,black
28,13,14,18,39,black
25,14,13,17,31,black
26,13,14,18,33,black
27,13,15,18,35,black
25,13,14,17,31,black
25,14,13,18,30,black
28,13,14,18,39,black
27,14,14,19,34,black
25,14,12,17,32,black
27,13,12,17,39,black
25,14,14,17,30,black
25,14,13,17,31,black
27,13,14,18,36,black
25,14,14,18,29,black
25,14,13,17,31,black
27,13,13,18,37,black
28,14,13,18,39,black
25,14,14,17,30,black
25,13,13,18,31,black
26,14,14,19,31,black
25,13,12,17,33,black
26,13,13,18,34,black
27,13,14,18,36,black
25,14,13,16,32,black
25,13,12,18,32,black
26,14,14,18,32,black
25,14,14,17,30,black
26,13,14,18,33,black
25,14,14,17,30,black
25,13,12,17,33,black
27,12,14,18,37,black
25,14,14,17,30,black
25,14,12,17,32,black
28,14,14,18,38,black
25,13,13,17,32,black
28,13,14,19,38,black
25,13,13,16,33,black
26,12,14,18,34,black
25,14,13,17,31,black
26,13,13,17,35,black
27,13,14,18,36,black
25,14,13,17,31,black
25,13,12,17,33,black
27,13,14,19,35,black
25,14,13,17,31,black
25,13,13,18,31,black
27,14,14,18,35,black
25,13,12,17,33,black
27,13,14,18,36,black
25,14,13,17,31,black
25,13,12,17,33,black
27,13,14,17,37,black
25,14,14,17,30,black
25,14,12,18,31,black
27,13,14,18,36,black
25,14,13,17,31,black
26,13,12,17,36,black
27,13,14,18,36,black
25,14,13,17,31,black
26,13,12,17,36,black
26,14,14,17,33,black
25,13,13,17,32,black
28,14,14,18,38,black
25,14,14,17,30,black
27,12,14,18,37,black
25,14,14,18,29,black
25,13,12,17,33,black
28,13,14,18,39,black
25,14,13,17,31,black
25,13,13,17,32,black
27,14,14,17,36,black
25,14,13,17,31,black
26,13,14,18,33,black
25,14,14,17,30,black
25,14,12,17,32,black
28,13,14,18,39,black
25,14,13,17,31,black
25,14,12,18,31,black
28,13,14,17,40,black
25,14,14,17,30,black
25,14,12,18,31,black
26,14,14,18,32,black
26,14,14,17,33,black
26,13,14,18,33,black
27,14,14,17,36,black
25,14,12,17,32,black
27,13,13,18,37,black
25,14,14,17,30,black
25,14,12,18,31,black
28,13,15,19,37,black
25,13,13,17,32,black
27,13,14,18,36,black
25,14,14,17,30,black
25,13,13,18,31,black
27,14,14,19,34,black
25,14,13,17,31,black
26,13,14,18,33,black
27,14,14,17,36,black
25,14,13,18,30,black
26,13,15,18,32,black
26,14,14,18,32,black
25,14,12,18,31,black
28,13,14,18,39,black
26,14,14,17,33,black
26,13,12,18,35,black
27,13,15,18,35,black
25,14,14,17,30,black
25,14,12,18,31,black
27,14,14,19,34,black
25,14,14,17,30,black
26,14,12,18,34,black
28,13,14,18,39,black
26,14,14,17,33,black
25,14,12,18,31,black
28,13,15,19,37,black
26,14,14,17,33,black
25,13,14,18,30,black
27,13,15,19,34,black
25,14,13,17,31,black
26,14,12,18,34,black
27,13,14,18,36,black
25,14,14,17,30,black
25,14,13,18,30,black
27,13,14,18,36,black
26,14,14,17,33,black
25,14,12,18,31,black
28,13,14,19,38,black
25,14,13,17,31,black
27,13,14,19,35,black
25,14,14,17,30,black
25,14,13,18,30,black
28,13,15,18,38,black
25,14,14,17,30,black
26,13,13,18,34,black
27,14,14,18,35,black
25,14,12,18,31,black
28,13,14,19,38,black
26,14,14,17,33,black
26,14,13,18,33,black
28,14,14,19,37,black
25,14,14,17,30,black
26,13,14,18,33,black
27,13,15,19,34,black
26,14,13,18,33,black
27,13,14,18,36,black
26,14,14,18,32,black
25,14,13,18,30,black
27,14,13,18,36,black
26,15,14,19,30,black
26,14,14,18,32,black
27,13,14,18,36,black
27,14,14,17,36,black
25,14,12,18,31,black
28,13,14,18,39,black
26,14,14,17,33,black
25,14,13,18,30,black
28,14,15,19,36,black
26,14,14,17,33,black
28,13,14,18,39,black
25,14,14,18,29,black
26,13,14,18,33,black
27,13,15,18,35,black
26,14,14,17,33,black
26,14,13,18,33,black
28,14,14,19,37,black
26,14,14,17,33,black
25,14,12,18,31,black
28,13,14,18,39,black
25,14,13,18,30,black
27,13,13,18,37,black
27,13,15,18,35,black
25,14,13,18,30,black
27,13,14,19,35,black
26,14,14,17,33,black
25,14,13,18,30,black
27,14,14,19,34,black
26,14,14,18,32,black
27,13,14,18,36,black
27,14,14,19,34,black
25,14,13,18,30,black
27,13,14,18,36,black
26,14,14,17,33,black
25,14,13,18,30,black
26,14,14,17,33,black
26,14,12,18,34,black
26,14,14,17,33,black
25,14,13,18,30,black
27,14,14,18,35,black
25,14,13,18,30,black
28,14,15,19,36,black
25,14,14,17,30,black
25,13,13,18,31,black
28,13,14,18,39,black
26,14,14,17,33,black
26,14,13,18,33,black
28,13,15,19,37,black
26,14,14,17,33,black
25,14,13,18,30,black
27,14,14,19,34,black
26,14,14,18,32,black
27,13,14,18,36,black
27,14,15,19,33,black
26,14,13,18,33,black
27,13,13,18,37,black
26,14,14,17,33,black
25,14,13,18,30,black
29,13,15,19,40,black
26,14,14,17,33,black
27,13,14,18,36,black
26,14,14,17,33,black
27,13,14,18,36,black
26,14,14,17,33,black
26,13,14,18,33,black
27,14,15,19,33,black
26,14,13,18,33,black
27,14,12,18,37,black
28,15,14,19,36,black
25,14,14,17,30,black
25,14,14,18,29,black
26,15,14,18,31,black
25,14,13,18,30,black
28,13,14,19,38,black
26,14,14,17,33,black
25,14,13,18,30,black
28,13,14,19,38,black
26,15,14,17,32,black
26,14,13,18,33,black
28,13,14,18,39,black
26,14,14,18,32,black
25,14,13,18,30,black
28,13,14,18,39,black
25,14,13,17,31,black
26,13,13,18,34,black
26,14,14,18,32,black
25,14,13,17,31,black
27,13,14,18,36,black
26,14,14,17,33,black
25,14,12,18,31,black
27,13,12,18,38,black
27,13,14,18,36,black
26,14,14,17,33,black
26,13,13,18,34,black
27,13,14,18,36,black
25,14,13,17,31,black
25,13,12,18,32,black
27,13,15,18,35,black
26,14,14,17,33,black
25,13,12,18,32,black
28,13,14,18,39,black
26,14,14,17,33,black
25,13,13,17,32,black
26,13,13,17,35,black
25,14,13,17,31,black
25,13,13,17,32,black
27,13,14,18,36,black
26,14,13,18,33,black
25,13,12,17,33,black
27,13,14,18,36,black
25,13,13,17,32,black
26,12,14,17,35,black
26,13,13,17,35,black
25,13,12,18,32,black
26,14,14,18,32,black
25,14,14,16,31,black
25,13,12,17,33,black
28,13,14,18,39,black
25,13,13,16,33,black
25,13,12,17,33,black
27,13,14,18,36,black
5,2,4,5,4,black
11,6,6,7,14,black
13,7,7,9,16,black
14,7,6,11,18,black
17,9,8,10,24,black
16,8,8,11,21,black
16,8,9,13,18,black
19,10,9,11,27,black
17,9,8,13,21,black
17,9,9,12,21,black
17,9,8,12,22,black
18,9,11,12,22,black
18,9,8,13,24,black
18,9,9,14,22,black
19,10,9,12,26,black
18,9,9,13,23,black
20,9,10,12,29,black
19,10,8,13,26,black
21,9,11,12,31,black
18,10,9,13,22,black
20,9,10,14,27,black
19,10,8,13,26,black
20,9,11,14,26,black
19,10,9,13,25,black
19,10,10,14,23,black
19,10,9,13,25,black
21,9,11,15,28,black
19,10,10,13,24,black
22,10,11,14,31,black
19,10,9,14,24,black
22,11,10,13,32,black
19,10,9,13,25,black
21,10,10,13,30,black
20,9,11,14,26,black
20,10,10,13,27,black
20,9,11,14,26,black
21,11,10,13,29,black
20,10,10,14,26,black
20,11,10,13,26,black
21,9,11,15,28,black
20,11,10,13,26,black
19,9,10,14,24,black
22,10,11,14,31,black
19,10,10,14,23,black
20,11,10,13,26,black
21,9,11,15,28,black
20,11,10,13,26,black
19,10,10,14,23,black
20,11,10,13,26,black
19,10,11,14,22,black
19,10,10,13,24,black
21,9,10,13,31,black
19,10,10,13,24,black
21,9,11,13,30,black
20,10,10,13,27,black
21,9,11,15,28,black
19,10,10,13,24,black
21,9,11,15,28,black
20,10,10,14,26,black
21,9,11,15,28,black
21,10,10,14,29,black
21,9,11,15,28,black
20,10,10,13,27,black
20,10,10,14,26,black
19,11,9,14,23,black
19,10,10,14,23,black
20,11,10,13,26,black
19,10,10,14,23,black
20,11,11,13,25,black
19,10,9,14,24,black
22,10,11,15,30,black
19,10,9,14,24,black
20,10,11,14,25,black
20,10,9,14,27,black
19,10,9,14,24,black
21,10,12,14,27,black
19,11,10,13,23,black
21,9,11,15,28,black
19,11,10,13,23,black
19,10,9,14,24,black
22,10,11,15,30,black
19,10,9,14,24,black
21,9,11,15,28,black
20,11,10,13,26,black
19,10,11,15,21,black
19,11,10,13,23,black
19,9,11,15,22,black
22,10,11,15,30,black
19,11,9,14,23,black
21,10,11,15,27,black
20,10,10,14,26,black
21,9,11,15,28,black
20,11,10,13,26,black
19,10,9,14,24,black
21,9,11,15,28,black
21,10,10,13,30,black
20,10,10,14,26,black
20,11,9,14,26,black
19,10,9,14,24,black
20,10,11,15,24,black
19,11,10,13,23,black
20,10,11,15,24,black
20,10,10,13,27,black
21,10,11,15,27,black
19,10,10,13,24,black
19,10,9,14,24,black
22,11,11,15,29,black
20,10,10,13,27,black
22,10,11,15,30,black
20,10,10,13,27,black
22,10,11,15,30,black
19,10,10,13,24,black
20,9,11,15,25,black
22,11,10,13,32,black
19,10,11,14,22,black
20,11,10,13,26,black
19,10,10,14,23,black
19,11,10,13,23,black
19,10,9,14,24,black
22,9,11,15,31,black
21,11,10,13,29,black
20,10,11,14,25,black
20,11,10,14,25,black
21,10,10,14,29,black
20,11,10,13,26,black
19,10,10,14,23,black
21,11,11,13,28,black
19,11,9,14,23,black
20,10,10,14,26,black
19,11,10,13,23,black
19,10,9,14,24,black
22,11,11,15,29,black
19,10,10,13,24,black
20,9,11,15,25,black
22,10,11,15,30,black
19,11,10,14,22,black
21,9,11,14,29,black
22,10,11,15,30,black
19,10,10,13,24,black
20,10,10,14,26,black
19,11,10,13,23,black
19,10,9,14,24,black
22,10,11,15,30,black
19,11,10,13,23,black
22,10,11,15,30,black
19,11,10,13,23,black
19,11,9,14,23,black
21,9,11,14,29,black
22,11,10,13,32,black
19,10,9,14,24,black
21,9,11,14,29,black
20,10,10,13,27,black
19,10,9,14,24,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,11,14,25,black
19,11,10,14,22,black
19,10,10,14,23,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
22,9,11,14,32,black
19,10,10,13,24,black
19,10,9,14,24,black
21,9,11,14,29,black
22,10,11,15,30,black
19,11,9,14,23,black
19,10,9,14,24,black
20,9,11,15,25,black
22,10,11,15,30,black
20,10,9,14,27,black
21,10,10,14,29,black
20,11,10,13,26,black
19,10,9,14,24,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,11,13,22,black
19,10,10,14,23,black
22,11,11,15,29,black
19,10,9,14,24,black
20,10,10,14,26,black
22,10,10,13,33,black
19,10,9,14,24,black
21,9,11,15,28,black
20,11,11,14,24,black
19,10,9,14,24,black
20,10,10,14,26,black
21,10,11,15,27,black
19,10,9,14,24,black
19,10,9,14,24,black
19,10,11,15,21,black
20,11,10,13,26,black
19,10,10,14,23,black
20,11,10,13,26,black
19,10,9,14,24,black
22,9,11,14,32,black
21,10,11,15,27,black
19,10,10,14,23,black
21,10,10,14,29,black
19,11,10,13,23,black
19,11,9,14,23,black
19,10,11,15,21,black
19,11,10,13,23,black
19,10,11,14,22,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,11,14,28,black
20,11,10,13,26,black
20,10,9,14,27,black
22,9,11,15,31,black
20,11,11,14,24,black
19,10,10,14,23,black
22,10,11,14,31,black
20,11,10,13,26,black
20,9,11,14,26,black
22,10,11,15,30,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,10,14,26,black
21,11,11,15,26,black
19,11,9,14,23,black
20,10,10,14,26,black
21,11,11,13,28,black
19,10,9,14,24,black
19,10,9,14,24,black
22,10,11,15,30,black
19,11,10,13,23,black
19,10,10,14,23,black
20,11,11,15,23,black
20,11,9,14,26,black
19,11,9,14,23,black
19,10,10,14,23,black
21,11,11,15,26,black
19,11,10,13,23,black
19,10,9,14,24,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
19,10,10,14,23,black
21,11,11,15,26,black
19,10,10,13,24,black
19,10,9,14,24,black
20,10,11,15,24,black
19,11,10,13,23,black
19,11,9,14,23,black
22,10,11,15,30,black
19,11,10,13,23,black
19,10,9,14,24,black
22,9,11,14,32,black
21,10,10,13,30,black
19,10,9,14,24,black
21,10,11,15,27,black
20,11,11,14,24,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,9,14,27,black
22,9,11,14,32,black
22,10,11,15,30,black
19,10,9,14,24,black
20,10,10,14,26,black
21,11,10,13,29,black
19,10,9,14,24,black
21,10,11,15,27,black
19,10,10,13,24,black
20,10,11,15,24,black
19,11,10,13,23,black
19,11,10,14,22,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
21,10,9,14,30,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,10,14,26,black
20,11,11,15,23,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,11,14,25,black
20,11,11,14,24,black
19,10,9,14,24,black
22,9,11,14,32,black
21,10,11,15,27,black
19,10,9,14,24,black
19,10,9,14,24,black
22,11,11,15,29,black
20,11,10,13,26,black
22,10,12,15,29,black
19,11,11,13,22,black
19,10,9,14,24,black
21,10,10,14,29,black
20,11,10,14,25,black
20,10,10,14,26,black
22,10,10,13,33,black
19,10,9,14,24,black
20,10,9,14,27,black
22,10,11,15,30,black
19,10,10,14,23,black
22,9,11,14,32,black
22,10,11,15,30,black
19,11,10,14,22,black
20,10,9,14,27,black
22,10,11,15,30,black
19,10,10,13,24,black
19,10,10,14,23,black
20,11,11,14,24,black
19,11,9,14,23,black
22,9,11,14,32,black
21,11,11,13,28,black
19,10,9,14,24,black
21,9,11,14,29,black
19,11,10,13,23,black
19,10,9,14,24,black
21,11,11,15,26,black
19,10,10,13,24,black
19,10,10,14,23,black
20,11,10,15,24,black
19,11,9,14,23,black
21,10,11,14,28,black
20,11,10,14,25,black
20,10,10,14,26,black
20,11,10,13,26,black
19,10,9,14,24,black
19,10,9,14,24,black
22,10,11,14,31,black
20,11,10,13,26,black
20,10,11,14,25,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,10,14,29,black
20,10,10,13,27,black
20,10,10,14,26,black
21,11,10,13,29,black
19,11,9,14,23,black
19,10,10,14,23,black
22,10,11,15,30,black
20,11,10,14,25,black
21,10,10,14,29,black
21,11,10,13,29,black
19,11,10,14,22,black
21,10,11,15,27,black
19,10,10,13,24,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,9,14,27,black
22,9,11,14,32,black
21,11,10,13,29,black
19,10,9,14,24,black
21,9,11,15,28,black
21,11,11,15,26,black
19,11,9,14,23,black
20,10,9,14,27,black
21,10,11,14,28,black
19,11,10,13,23,black
19,10,9,14,24,black
22,11,11,15,29,black
19,11,10,13,23,black
19,10,10,14,23,black
22,10,11,15,30,black
19,11,10,13,23,black
19,10,9,14,24,black
21,10,11,15,27,black
19,10,10,14,23,black
21,9,11,14,29,black
20,10,10,13,27,black
19,10,9,14,24,black
22,9,11,14,32,black
21,11,11,15,26,black
19,10,9,14,24,black
20,10,9,14,27,black
22,11,11,15,29,black
19,11,10,13,23,black
20,9,11,15,25,black
22,11,11,15,29,black
19,10,10,14,23,black
22,10,11,15,30,black
19,11,10,14,22,black
21,9,11,14,29,black
22,11,11,13,31,black
19,10,9,14,24,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,11,15,24,black
19,11,10,13,23,black
19,9,11,14,23,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
21,10,11,15,27,black
19,11,10,13,23,black
19,10,9,14,24,black
22,9,11,14,32,black
22,10,11,15,30,black
19,10,9,14,24,black
20,10,10,14,26,black
21,11,10,13,29,black
19,10,9,14,24,black
20,9,11,14,26,black
22,10,11,15,30,black
19,11,10,14,22,black
21,10,10,14,29,black
20,11,10,13,26,black
20,10,10,14,26,black
20,11,10,13,26,black
19,10,9,14,24,black
20,10,10,14,26,black
20,11,11,15,23,black
19,11,11,13,22,black
20,10,9,14,27,black
21,10,10,14,29,black
19,10,10,13,24,black
19,10,9,14,24,black
19,10,11,14,22,black
21,11,10,15,27,black
19,11,9,14,23,black
21,10,10,14,29,black
21,11,10,12,30,black
19,11,9,14,23,black
19,10,9,14,24,black
22,10,11,14,31,black
19,10,10,13,24,black
22,10,11,14,31,black
20,11,10,13,26,black
19,10,9,14,24,black
20,10,9,14,27,black
20,9,12,15,24,black
21,10,11,15,27,black
19,11,10,14,22,black
21,10,11,14,28,black
20,11,10,13,26,black
20,10,9,14,27,black
21,10,10,14,29,black
20,11,10,13,26,black
19,10,9,14,24,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,9,14,27,black
21,10,10,14,29,black
20,11,10,13,26,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,10,13,23,black
19,10,9,14,24,black
22,9,11,14,32,black
22,10,11,15,30,black
19,11,10,13,23,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
21,10,11,15,27,black
20,11,11,15,23,black
19,10,9,14,24,black
20,10,11,14,25,black
20,11,10,13,26,black
19,10,10,14,23,black
21,10,11,15,27,black
20,11,10,14,25,black
19,10,11,15,21,black
19,10,10,13,24,black
20,10,9,14,27,black
22,9,11,15,31,black
22,11,11,15,29,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,12,14,24,black
19,11,10,13,23,black
19,10,10,14,23,black
21,11,11,15,26,black
19,10,9,14,24,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,10,13,23,black
19,11,9,14,23,black
21,10,10,14,29,black
21,11,11,14,27,black
19,10,9,14,24,black
20,11,9,14,26,black
21,10,11,15,27,black
20,11,10,13,26,black
19,10,10,14,23,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
21,9,11,15,28,black
20,11,10,14,25,black
19,10,9,14,24,black
20,10,10,14,26,black
22,10,11,15,30,black
19,10,9,14,24,black
20,10,10,14,26,black
21,11,10,13,29,black
19,10,9,14,24,black
21,10,11,15,27,black
19,11,10,13,23,black
19,11,10,14,22,black
20,11,11,15,23,black
20,10,9,14,27,black
19,10,9,14,24,black
20,10,9,14,27,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,10,14,26,black
21,10,11,15,27,black
19,10,10,13,24,black
19,10,9,14,24,black
21,10,11,15,27,black
20,11,10,13,26,black
19,10,11,14,22,black
21,11,11,15,26,black
19,11,10,14,22,black
20,10,10,14,26,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,10,14,29,black
20,11,11,13,25,black
19,11,10,14,22,black
22,10,11,14,31,black
20,11,10,14,25,black
19,10,9,14,24,black
21,10,10,14,29,black
20,10,10,13,27,black
19,10,9,14,24,black
20,10,11,14,25,black
20,11,11,15,23,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,10,15,25,black
19,11,10,13,23,black
20,10,9,14,27,black
22,10,12,15,29,black
19,11,11,13,22,black
21,9,11,14,29,black
22,10,11,15,30,black
20,10,9,14,27,black
19,11,9,14,23,black
20,10,11,15,24,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,11,14,28,black
20,11,11,13,25,black
19,11,10,14,22,black
21,9,11,15,28,black
21,11,11,15,26,black
19,11,10,13,23,black
21,10,11,14,28,black
20,11,10,14,25,black
20,10,10,14,26,black
21,11,11,15,26,black
19,10,9,14,24,black
20,10,10,14,26,black
21,10,10,13,30,black
19,11,9,14,23,black
20,10,11,14,25,black
20,11,11,14,24,black
19,11,9,14,23,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,10,13,23,black
19,11,9,14,23,black
21,9,11,14,29,black
22,11,11,15,29,black
19,10,9,14,24,black
19,11,9,14,23,black
20,10,11,15,24,black
20,11,11,14,24,black
19,11,10,14,22,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,9,14,27,black
22,10,11,14,31,black
20,11,11,13,25,black
19,10,9,14,24,black
22,11,11,15,29,black
19,11,11,13,22,black
19,10,10,14,23,black
21,10,11,15,27,black
19,11,9,14,23,black
19,11,9,14,23,black
19,10,9,14,24,black
21,10,11,14,28,black
20,12,10,14,24,black
19,10,9,14,24,black
21,10,10,14,29,black
21,11,10,14,28,black
19,11,10,14,22,black
21,10,11,15,27,black
19,11,10,13,23,black
20,10,11,14,25,black
20,11,10,14,25,black
19,10,9,14,24,black
21,9,10,14,30,black
22,10,12,15,29,black
19,10,10,13,24,black
20,10,9,14,27,black
22,11,11,15,29,black
20,10,10,13,27,black
20,10,11,14,25,black
21,11,11,14,27,black
19,10,10,14,23,black
21,10,12,15,26,black
19,11,10,14,22,black
21,10,10,14,29,black
21,11,10,13,29,black
19,11,9,14,23,black
20,10,12,15,23,black
19,11,10,13,23,black
19,10,9,14,24,black
21,10,11,14,28,black
20,11,10,13,26,black
21,10,10,14,29,black
20,11,11,15,23,black
19,10,9,14,24,black
19,10,10,14,23,black
20,11,10,13,26,black
19,11,9,14,23,black
22,11,11,15,29,black
20,11,10,13,26,black
19,9,11,14,23,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,9,14,27,black
21,10,11,15,27,black
20,11,10,13,26,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,11,13,25,black
19,10,9,14,24,black
21,10,10,14,29,black
20,10,10,13,27,black
19,10,9,14,24,black
20,9,11,15,25,black
22,10,11,15,30,black
20,11,10,14,25,black
21,10,10,14,29,black
21,11,10,13,29,black
19,10,9,14,24,black
20,10,9,14,27,black
22,11,11,15,29,black
20,11,11,13,25,black
22,10,12,15,29,black
20,11,11,13,25,black
22,10,11,15,30,black
19,11,11,13,22,black
19,10,9,14,24,black
21,10,10,14,29,black
22,11,10,14,31,black
19,11,10,13,23,black
20,10,11,15,24,black
20,11,11,13,25,black
19,10,9,14,24,black
21,10,10,14,29,black
21,10,11,15,27,black
19,10,10,14,23,black
21,10,10,14,29,black
20,11,10,13,26,black
19,10,9,14,24,black
19,10,10,14,23,black
21,11,11,15,26,black
19,11,9,14,23,black
19,11,9,14,23,black
21,10,11,15,27,black
20,11,11,13,25,black
19,11,9,14,23,black
22,10,12,15,29,black
20,11,11,13,25,black
20,10,9,14,27,black
21,10,11,14,28,black
20,11,10,13,26,black
19,11,9,14,23,black
21,10,12,15,26,black
20,11,11,13,25,black
19,10,11,14,22,black
20,11,11,15,23,black
20,10,9,14,27,black
21,10,11,14,28,black
20,11,10,13,26,black
20,10,9,14,27,black
20,10,10,15,25,black
20,11,10,13,26,black
19,11,9,14,23,black
22,10,11,15,30,black
20,10,10,13,27,black
20,10,10,14,26,black
21,11,11,15,26,black
19,10,10,14,23,black
21,10,10,14,29,black
22,11,10,14,31,black
19,10,9,14,24,black
20,10,10,14,26,black
20,11,11,15,23,black
20,11,9,14,26,black
